[4], iter. T, 0.165397, dist. T, 0.139873, 
[5], iter. T, 0.113579, dist. T, 0.094462, 
[0], iter. T, 0.063034, dist. T, 0.053797, 
[1], iter. T, 0.208912, dist. T, 0.084216, 
[2], iter. T, 0.142197, dist. T, 0.091414, 
[3], iter. T, 0.172751, dist. T, 0.139021, 
[4], iter. T, 0.114440, dist. T, 0.088603, 
[5], iter. T, 0.082442, dist. T, 0.059161, 
[6], iter. T, 0.095768, dist. T, 0.078384, 
[0], iter. T, 0.205742, dist. T, 0.196426, 
[1], iter. T, 0.284633, dist. T, 0.092987, 
[2], iter. T, 0.139128, dist. T, 0.059513, 
[3], iter. T, 0.115471, dist. T, 0.070624, 
[4], iter. T, 0.089340, dist. T, 0.055232, 
[5], iter. T, 0.129560, dist. T, 0.104164, 
[6], iter. T, 0.339350, dist. T, 0.316960, 
[7], iter. T, 0.071740, dist. T, 0.051015, 
[8], iter. T, 0.374827, dist. T, 0.357412, 
[0], iter. T, 0.071550, dist. T, 0.062173, 
[1], iter. T, 0.206345, dist. T, 0.102358, 
[2], iter. T, 0.166740, dist. T, 0.116958, 
[3], iter. T, 0.177821, dist. T, 0.143025, 
[4], iter. T, 0.124483, dist. T, 0.095153, 
[5], iter. T, 0.108337, dist. T, 0.082872, 
[6], iter. T, 0.218584, dist. T, 0.196735, 
[0], iter. T, 0.064650, dist. T, 0.055112, 
[1], iter. T, 0.223357, dist. T, 0.078671, 
[2], iter. T, 0.171397, dist. T, 0.116094, 
[3], iter. T, 0.084987, dist. T, 0.049343, 
[4], iter. T, 0.152377, dist. T, 0.126094, 
[5], iter. T, 0.246752, dist. T, 0.223591, 
[6], iter. T, 0.121057, dist. T, 0.101639, 
[0], iter. T, 0.062268, dist. T, 0.052244, 
[1], iter. T, 0.282039, dist. T, 0.125255, 
[2], iter. T, 0.385723, dist. T, 0.324515, 
[3], iter. T, 0.099938, dist. T, 0.063631, 
[4], iter. T, 0.076790, dist. T, 0.049063, 
[5], iter. T, 0.072133, dist. T, 0.050069, 
[6], iter. T, 0.070498, dist. T, 0.051455, 
[0], iter. T, 0.108284, dist. T, 0.098743, 
[1], iter. T, 0.355820, dist. T, 0.162496, 
[2], iter. T, 0.184099, dist. T, 0.104190, 
[3], iter. T, 0.166957, dist. T, 0.122945, 
[4], iter. T, 0.370888, dist. T, 0.318111, 
[5], iter. T, 0.076205, dist. T, 0.051794, 
[6], iter. T, 0.126225, dist. T, 0.106269, 
[0], iter. T, 0.064683, dist. T, 0.055162, 
[1], iter. T, 0.374762, dist. T, 0.247393, 
[2], iter. T, 0.103138, dist. T, 0.047406, 
[3], iter. T, 0.127771, dist. T, 0.089692, 
[4], iter. T, 0.171274, dist. T, 0.142230, 
[5], iter. T, 0.141436, dist. T, 0.119996, 
[6], iter. T, 0.089307, dist. T, 0.071711, 
[0], iter. T, 0.103193, dist. T, 0.093484, 
[1], iter. T, 0.254575, dist. T, 0.164782, 
[2], iter. T, 0.141192, dist. T, 0.094497, 
[3], iter. T, 0.129668, dist. T, 0.093139, 
[4], iter. T, 0.396971, dist. T, 0.368960, 
[5], iter. T, 0.078819, dist. T, 0.057515, 
[6], iter. T, 0.075427, dist. T, 0.055840, 
[0], iter. T, 0.062426, dist. T, 0.052896, 
[1], iter. T, 0.260635, dist. T, 0.146454, 
[2], iter. T, 0.490916, dist. T, 0.436073, 
[3], iter. T, 0.116226, dist. T, 0.079937, 
[4], iter. T, 0.120945, dist. T, 0.091566, 
[5], iter. T, 0.081392, dist. T, 0.058038, 
[6], iter. T, 0.073657, dist. T, 0.053974, 
[0], iter. T, 0.069650, dist. T, 0.059874, 
[1], iter. T, 0.238051, dist. T, 0.077818, 
[2], iter. T, 0.346910, dist. T, 0.258265, 
[3], iter. T, 0.087126, dist. T, 0.046755, 
[4], iter. T, 0.080425, dist. T, 0.049950, 
[5], iter. T, 0.201650, dist. T, 0.177219, 
[6], iter. T, 0.194043, dist. T, 0.172699, 
[7], iter. T, 0.068363, dist. T, 0.048141, 
[0], iter. T, 0.062519, dist. T, 0.052690, 
[1], iter. T, 0.200806, dist. T, 0.081007, 
[2], iter. T, 0.190998, dist. T, 0.140897, 
[3], iter. T, 0.125034, dist. T, 0.090038, 
[4], iter. T, 0.365467, dist. T, 0.335937, 
