[4], it. T, 0.240345, dist. T, 0.053995
[5], it. T, 0.234750, dist. T, 0.048554
[6], it. T, 0.243910, dist. T, 0.060110
[0], it. T, 0.211717, dist. T, 0.054839
[1], it. T, 0.370160, dist. T, 0.085159
[2], it. T, 0.293186, dist. T, 0.057565
[3], it. T, 0.349893, dist. T, 0.122876
[4], it. T, 0.264492, dist. T, 0.049952
[5], it. T, 0.269007, dist. T, 0.060201
[6], it. T, 0.233186, dist. T, 0.053686
[0], it. T, 0.273078, dist. T, 0.158616
[1], it. T, 0.306911, dist. T, 0.052085
[2], it. T, 0.337666, dist. T, 0.110117
[3], it. T, 0.240901, dist. T, 0.054763
[4], it. T, 0.326578, dist. T, 0.123785
[5], it. T, 0.222715, dist. T, 0.048281
[0], it. T, 0.199210, dist. T, 0.062559
[1], it. T, 0.345327, dist. T, 0.080153
[2], it. T, 0.349016, dist. T, 0.131578
[3], it. T, 0.409930, dist. T, 0.204720
[4], it. T, 0.244849, dist. T, 0.051155
[5], it. T, 0.265984, dist. T, 0.089515
[0], it. T, 0.280639, dist. T, 0.141837
[1], it. T, 0.439551, dist. T, 0.135679
[2], it. T, 0.267806, dist. T, 0.049337
[3], it. T, 0.310244, dist. T, 0.113687
[4], it. T, 0.237938, dist. T, 0.049238
[5], it. T, 0.259947, dist. T, 0.052493
[0], it. T, 0.214641, dist. T, 0.090187
[1], it. T, 0.501849, dist. T, 0.259394
[2], it. T, 0.325781, dist. T, 0.090843
[3], it. T, 0.292026, dist. T, 0.086226
[4], it. T, 0.242197, dist. T, 0.048401
[5], it. T, 0.250809, dist. T, 0.072980
[0], it. T, 0.206829, dist. T, 0.053796
[1], it. T, 0.497832, dist. T, 0.178638
[2], it. T, 0.268359, dist. T, 0.053612
[3], it. T, 0.243469, dist. T, 0.048920
[4], it. T, 0.243866, dist. T, 0.047821
[5], it. T, 0.260041, dist. T, 0.074881
[6], it. T, 0.386424, dist. T, 0.233191
[0], it. T, 0.205634, dist. T, 0.072695
[1], it. T, 0.581708, dist. T, 0.268950
[2], it. T, 0.330848, dist. T, 0.084704
[3], it. T, 0.421509, dist. T, 0.194601
[4], it. T, 0.266311, dist. T, 0.079494
[5], it. T, 0.232127, dist. T, 0.049659
[6], it. T, 0.224243, dist. T, 0.048676
[0], it. T, 0.195152, dist. T, 0.052952
[1], it. T, 0.569283, dist. T, 0.306118
[2], it. T, 0.324787, dist. T, 0.069810
[3], it. T, 0.247701, dist. T, 0.059578
[4], it. T, 0.241727, dist. T, 0.056822
[5], it. T, 0.252408, dist. T, 0.054313
[6], it. T, 0.237371, dist. T, 0.051510
[0], it. T, 0.192063, dist. T, 0.052355
[1], it. T, 0.324018, dist. T, 0.062528
[2], it. T, 0.274078, dist. T, 0.079127
[3], it. T, 0.243875, dist. T, 0.048112
[4], it. T, 0.239979, dist. T, 0.055709
[5], it. T, 0.236677, dist. T, 0.054022
[0], it. T, 0.182352, dist. T, 0.051629
[1], it. T, 0.322304, dist. T, 0.053950
[2], it. T, 0.332948, dist. T, 0.083250
[3], it. T, 0.246283, dist. T, 0.054044
[4], it. T, 0.263864, dist. T, 0.064361
[5], it. T, 0.232723, dist. T, 0.051492
[0], it. T, 0.184498, dist. T, 0.052462
[1], it. T, 0.516385, dist. T, 0.158138
[2], it. T, 0.358085, dist. T, 0.092089
[3], it. T, 0.274051, dist. T, 0.061056
[4], it. T, 0.259904, dist. T, 0.081888
[5], it. T, 0.245168, dist. T, 0.061653
[6], it. T, 0.226832, dist. T, 0.047639
[0], it. T, 0.356534, dist. T, 0.225357
